Company Name,Symbol,,Symbol,Symbol,US,Exercise,,,,,,Symbol,,Wts,1 Month,,,Days ,Fair,,,
Click on Company for News,CEO.ca ,Warrant,Yahoo,Canadian,Warrant,Price,,  Price  of  ,Expiration,Intrinsic,,Stockhouse,Time,Per,Historic,Warrant,Accel.,Until,Market,Comments,,
and Charts,BullBoard,CUSIP NO,Finace,Insider,Symbol,Cdn$,Currency,Common,Date,Value,Leverage,Bullboard,Value,Share,Volatility,Price,Clause,Expiry,Value,,,Discount
Nighthawk Gold Corp,NHK.WT.TO,65412D 16 3,,NHK.TO,,1.05,CAD,0.32,29-Apr-24,-0.73,64,NHK.WT.TO,$0.00,1,48.10%,0.005,,127,0,Very Overvalued,,0
Aris Mining Corp,ARIS.WT.B.TO,04040Y 11 7,,ARIS.TO,,2.21,CAD,4.43,30-Apr-24,2.22,1.98,ARIS.WT.B.TO,$0.00,1,47.90%,2.24,,128,2.26,Fair Market Value,,1.01
LeoNovus Inc,LTV.WT.VN,526681 12 7,,LTV.VN,,0.7,CAD,0.04,06-May-24,-0.66,8,LTV.WT.VN,$0.00,1,380.00%,0.005,,134,0.01,Bargain,,2
FRX Innovations Inc,FRXI.WT.VN,30326X 11 9,,FRXI.VN,,1.3,CAD,0.04,16-May-24,-1.26,4,FRXI-WT.VN,$0.00,1,230.50%,0.01,,144,0,Very Overvalued,,0
Reconnaissance Energy,RECO.WT.A.VN,75624R 12 4,,RECO.VN,,14,CAD,1.25,27-May-24,-12.75,20.83,RECO-WT.VN,$0.00,1,72.60%,0.06,$20/20day,155,0,Very Overvalued,,0
Hive Digital Technologies Ltd,HIVE.WT.VN,433921 11 1,,HIVE.VN,,30,CAD,6.76,30-May-24,-23.24,2.46,HIVE.WT.VN,$0.00,5,124.10%,0.55,,158,0.03,Very Overvalued,,0.05
BZAM Ltd,BZAM.WR.CN,12464X 12 7,,BZAM.CN,,0.5,CAD,0.145,12-Jun-24,-0.36,29,BZAM.WR.CN,$0.00,1,91.20%,0.005,,170,0,Very Overvalued,,0
Humble & Fume Inc,HMBL.WT.CN,44502H 11 1,,HMBL.CN,,1.4,CAD,0.005,14-Jun-24,-1.4,1,HMBL.WT.CN,$0.00,1,422.20%,0.005,,172,0,Very Overvalued,,0
Millennial Precious Metals ,MPM.WT.VN,60041N 11 2,,MPM.VN,,1.38,CAD,0.16,16-Jun-24,-1.22,347.83,MPM.WT.VN,$0.00,0.092,48.40%,0.005,,174,0,Very Overvalued,,0
Glass House Brands Inc,GLAS.A.U.WT.NE,377130,,GLAS.A.U.NE,,11.5,USD,4.6,24-Jun-24,-6.9,7.54,GLAS.WT.NE,$0.00,1,38.80%,0.61,,182,0,Very Overvalued,,0
